warmup,bias_v,h1_signed_v,h2_signed_v,h2_filt_signed_v,dc_v,k_fit,k_h2_signed_v,k_h2_filt_signed_v,k_h2_signed_over_dc,k_h2_filt_signed_over_dc
0,0.625,0.079197,-0.000162,-3.693814934297096e-05,0.762763,557.8999551650293,-0.09037979273673474,-0.02060779186232265,-0.11849000638040223,-0.027017293526721473
0,0.725,0.080548,-0.000256,-4.7889157834947486e-05,0.793243,557.8999551650293,-0.1428223885222475,-0.026717359009008214,-0.1800487221724585,-0.03368117841444326
0,0.825,0.078489,-2.3e-05,-4.665970953348165e-05,0.822704,557.8999551650293,-0.012831698968795673,-0.026031449856742703,-0.015596981379445917,-0.03164133133756819
0,0.925,0.072418,-0.00061,-7.480037197902826e-05,0.851,557.8999551650293,-0.34031897265066785,-0.04173112417342738,-0.399904785723464,-0.04903774873493229
0,1.025,0.072289,8e-06,-7.068144719769828e-05,0.878505,557.8999551650293,0.004463199641320234,-0.03943317622259525,0.005080448763888919,-0.044886683880678256
0,1.125,0.068058,-7.4e-05,-7.082944351863292e-05,0.905129,557.8999551650293,-0.04128459668221216,-0.03951574336340928,-0.04561183729856425,-0.0436575818070234
0,1.225,0.064024,-0.000471,-9.085492985294403e-05,0.930573,557.8999551650293,-0.26277087888272876,-0.05068796129147935,-0.28237535247930984,-0.05446962386774531
0,1.325,0.061687,-0.000229,-9.778060728454068e-05,0.954799,557.8999551650293,-0.1277590897327917,-0.05455179642005458,-0.13380731413919758,-0.05713432504648055
0,1.425,0.055981,0.000148,-8.547064926429941e-05,0.9776,557.8999551650293,0.08256919336442432,-0.04768407139247858,0.08446112250861736,-0.04877666877299364
0,1.525,0.052746,-0.000338,-9.807390569085552e-05,0.99892,557.8999551650293,-0.1885701848457799,-0.0547154275877876,-0.18877406083147788,-0.05477458413865735
0,1.625,0.04906,-0.000194,-0.00010285678524010637,1.018399,557.8999551650293,-0.10823259130201568,-0.05738379587387439,-0.10627719715162297,-0.05634706620280891
0,1.725,0.042658,-3.7e-05,-9.955694846778231e-05,1.036499,557.8999551650293,-0.02064229834110608,-0.05554281708654288,-0.019915405939712513,-0.05358694710418715
0,1.825,0.039449,-0.000285,-0.00010880624826481222,1.053108,557.8999551650293,-0.15900148722203333,-0.060703001028613784,-0.15098307791986515,-0.05764176231555908
0,1.925,0.034992,1.7e-05,-0.00010249925033595026,1.068192,557.8999551650293,0.009484299237805497,-0.05718432716687576,0.008878833803104214,-0.05353375345151037
0,2.025,0.02902,-0.000249,-0.00010981534838346419,1.081259,557.8999551650293,-0.13891708883609227,-0.061265977939566736,-0.12847716304427734,-0.056661704494082116
0,2.125,0.025054,-0.000206,-0.00011462739569972247,1.092347,557.8999551650293,-0.11492739076399602,-0.06395061892155923,-0.10521143076695962,-0.058544234498340945
0,2.225,0.019871,-7.4e-05,-0.0001125738080984559,1.101776,557.8999551650293,-0.04128459668221216,-0.06280492249088515,-0.03747095297248457,-0.0570033495836587
0,2.325,0.014509,-0.000235,-0.00011869366300306956,1.109071,557.8999551650293,-0.13110648946378187,-0.0662191892677856,-0.11821289120694876,-0.05970689817674937
0,2.425,0.009447,-0.0001,-0.00011775649635239129,1.114481,557.8999551650293,-0.05578999551650293,-0.06569634403539003,-0.05005917150359937,-0.05894792646567328
0,2.525,0.004427,-9.7e-05,-0.00011672861984906201,1.118528,557.8999551650293,-0.05411629565100784,-0.06512289178026744,-0.048381708505292526,-0.058221959378994034
0,2.625,-0.001197,-0.000137,-0.0001177466754845608,1.12026,557.8999551650293,-0.07643229385760901,-0.06569086497366772,-0.06822728103976666,-0.058638945399878344
0,2.725,-0.006659,-0.000139,-0.00011882250346396595,1.119975,557.8999551650293,-0.07754809376793906,-0.06629106935514313,-0.06924091499179809,-0.059189775981734534
0,2.825,-0.010746,-0.000161,-0.00012091252864500005,1.118533,557.8999551650293,-0.08982189278156971,-0.06745709430993584,-0.08030330154011524,-0.060308541911535764
0,2.925,-0.016841,-0.000147,-0.00012220651168152495,1.114812,557.8999551650293,-0.0820112934092593,-0.0681790073879974,-0.07356513332226358,-0.061157403569388744
0,3.025,-0.021911,2.3e-05,-0.00011496218369497956,1.10879,557.8999551650293,0.012831698968795673,-0.06413739712910295,0.011572704451515321,-0.05784449456533965
0,3.125,-0.025645,-0.000109,-0.0001146742446381322,1.100686,557.8999551650293,-0.06081109511298819,-0.06397675594219755,-0.05524835885346792,-0.05812443870658621
0,3.225,-0.032016,-8.7e-05,-0.00011328269831713,1.090891,557.8999551650293,-0.048537296099357544,-0.06320041231210036,-0.04449325927096066,-0.057934672036069924
0,3.325,-0.036715,-7.5e-05,-0.00011138335072817269,1.07979,557.8999551650293,-0.04184249663737719,-0.062140766377378275,-0.03875058727843117,-0.05754893671674888
0,3.425,-0.039971,0.000304,-9.063419962964685e-05,1.066456,557.8999551650293,0.1696015863701689,-0.05056481590979829,0.1590328962190366,-0.04741387915656932
0,3.525,-0.04628,-0.000118,-9.198340313766267e-05,1.05184,557.8999551650293,-0.06583219470947345,-0.05131753648642882,-0.06258765088746715,-0.048788348500179504
0,3.625,-0.050342,-0.000163,-9.551793005615155e-05,1.0362,557.8999551650293,-0.09093769269189977,-0.053289448895783346,-0.0877607534181623,-0.051427763844608516
0,3.725,-0.053881,0.000135,-8.397633354364096e-05,1.01884,557.8999551650293,0.07531649394727895,-0.04685039271892084,0.0739237701182511,-0.04598405315743477
0,3.825,-0.059018,-0.000167,-8.813146020485895e-05,0.999525,557.8999551650293,-0.09316929251255988,-0.04916853769691937,-0.09321356895781485,-0.04919190385124871
0,3.925,-0.061448,-0.000319,-9.96385082558386e-05,0.978715,557.8999551650293,-0.17797008569764433,-0.05558831928864275,-0.18184056206111518,-0.05679724872781428
